state,drvr_fatl_col_bmiles,perc_fatl_speed,perc_fatl_alcohol,perc_fatl_1st_time,cluster,million_miles_annually,num_drvr_fatl_col
Alabama,18.8,39,30,80,0,64914,1220.3832
Alaska,18.1,41,25,94,2,4593,83.1333
Arizona,18.6,35,28,96,2,59575,1108.095
Arkansas,22.4,18,26,95,2,32953,738.1472
California,12.0,35,28,89,2,320784,3849.408
Colorado,13.6,37,28,95,2,46606,633.8416
Connecticut,10.8,46,36,82,0,31197,336.92760000000004
Delaware,16.2,38,30,99,2,9028,146.2536
District of Columbia,5.9,34,27,100,2,3568,21.0512
Florida,17.9,21,29,94,2,191855,3434.2044999999994
Georgia,15.6,19,25,93,2,108454,1691.8824
Hawaii,17.5,54,41,87,0,10066,176.155
Idaho,15.3,36,29,98,2,15937,243.83610000000002
Illinois,12.8,36,34,96,2,103234,1321.3952000000002
Indiana,14.5,25,29,95,2,76485,1109.0325
Iowa,15.7,17,25,87,1,31274,491.0018
Kansas,17.8,27,24,85,1,30021,534.3738000000001
Kentucky,21.4,19,23,76,1,48061,1028.5054
Louisiana,20.5,35,33,98,2,46513,953.5165
Maine,15.1,38,30,84,0,14248,215.14479999999998
Maryland,12.5,34,32,99,2,56221,702.7625
Massachusetts,8.2,23,35,80,1,54792,449.29439999999994
Michigan,14.1,24,28,77,1,94754,1336.0313999999998
Minnesota,9.6,23,29,88,1,56685,544.176
Mississippi,17.6,15,31,100,2,38851,683.7776000000001
Missouri,16.1,43,34,84,0,68789,1107.5029000000002
Montana,21.4,39,44,85,0,11660,249.52399999999997
Nebraska,14.9,13,35,90,1,19093,284.4857
Nevada,14.7,37,32,99,2,24189,355.5783
New Hampshire,11.6,35,30,83,0,12720,147.552
New Jersey,11.2,16,28,78,1,73094,818.6528
New Mexico,18.4,19,27,98,2,25650,471.9599999999999
New York,12.3,32,29,80,1,127726,1571.0298
North Carolina,16.8,39,31,81,0,103772,1743.3696
North Dakota,23.9,23,42,86,0,9131,218.2309
Ohio,14.1,28,34,82,0,111990,1579.059
Oklahoma,19.9,32,29,94,2,47464,944.5336
Oregon,12.8,33,26,90,2,33373,427.17440000000005
Pennsylvania,18.2,50,31,88,0,99204,1805.5127999999997
Rhode Island,11.1,34,38,79,0,7901,87.7011
South Carolina,23.9,38,41,81,0,48730,1164.647
South Dakota,19.4,31,33,86,0,9002,174.63879999999997
Tennessee,19.5,21,29,81,1,70751,1379.6445
Texas,19.4,40,38,87,0,237440,4606.336
Utah,11.3,43,16,96,2,26222,296.3086
Vermont,13.6,30,30,95,2,7141,97.1176
Virginia,12.7,19,27,88,1,80974,1028.3698
Washington,10.6,42,33,86,0,56955,603.723
West Virginia,23.8,34,28,87,2,18963,451.31940000000003
Wisconsin,13.8,36,33,84,0,58554,808.0452
Wyoming,17.4,42,32,90,0,9245,160.863
